# RSPConnections_local.dat
# 
# File that gives a list of the RSP Connections when an international station
# is used in local mode.
#
# In local mode, each station has its own connected hardware (IP + MAC 
# addresses. Using the information in this file, the RSPDriver.conf file is
# recreated whehn switching from ILT to local mode.

# Station_lane   DestIP    DestMAC         alias
#-------------------------------------------------
DE601_00 172.20.101.105   00:19:99:e2:20:ce   lofarB1-new
DE601_01 172.20.101.107   00:19:99:e2:21:46   lofarB2-new
DE601_02 172.20.101.109   00:19:99:e2:21:ba   lofarB3-new
DE601_03 172.20.101.111   00:19:99:ba:42:cb   lofarB4-new

DE602_00 172.20.101.113   00:19:99:bc:7e:65   lofarC1-10G
DE602_01 172.20.101.115   90:e2:ba:62:aa:ad   lofarC2-10G
DE602_02 172.20.101.115   90:e2:ba:62:aa:ad   lofarC2-10G
DE602_03 172.20.101.113   00:19:99:bc:7e:65   lofarC1-10G

DE603_00 172.20.101.117   90:e2:ba:7c:eb:cd   new-lofarC3-10GBit
DE603_01 172.20.101.119   90:e2:ba:7c:e9:c9   new-lofarC4-10GBit
DE603_02 172.20.101.119   90:e2:ba:7c:e9:c9   new-lofarC4-10GBit
DE603_03 172.20.101.117   90:e2:ba:7c:eb:cd   new-lofarC3-10GBit

DE604_00 172.20.105.102   00:02:C9:4E:DA:5A   glow02
DE604_01 172.20.105.102   00:02:C9:4E:DA:5A   glow02
DE604_02 172.20.105.102   00:02:C9:4E:DA:5A   glow02
DE604_03 172.20.105.103   00:02:C9:4E:DA:54   glow03

DE605_00 172.20.101.114   90:1b:0e:43:1c:15   lofarD1-10-GbE
DE605_01 172.20.101.116   90:1b:0e:43:1b:d5   lofarD2-10-GbE
DE605_02 172.20.101.116   90:1b:0e:43:1b:d5   lofarD2-10-GbE
DE605_03 172.20.101.114   90:1b:0e:43:1c:15   lofarD1-10-GbE

FR606_00 10.211.6.2       00:25:90:92:58:CC   ALLEGRO1-FR606
FR606_01 10.212.6.2       00:25:90:61:77:40   ALLEGRO2-FR606
FR606_02 10.213.6.2       00:25:90:61:78:14   ALLEGRO3-FR606
FR606_03 10.214.6.2       00:25:90:61:77:86   ALLEGRO4-FR606

SE607_00 10.211.7.2       00:60:dd:45:66:67   Dvalin-eth10
SE607_01 10.212.7.2       00:60:dd:45:66:67   Dvalin-eth10
SE607_02 10.213.7.2       00:60:dd:45:66:67   Dvalin-eth10
SE607_03 10.214.7.2       00:60:dd:45:66:67   Dvalin-eth10

UK608_00 10.211.8.2 	  00:26:6C:FB:79:69   largo1
UK608_01 10.212.8.2	  00:26:6C:FC:CC:31   largo2
UK608_02 10.213.8.2 	  00:A0:D1:EC:75:69   largo3 
UK608_03 10.214.8.2	  00:A0:D1:EC:76:85   largo4

DE609_00 172.20.105.103   00:02:C9:4E:DA:54   glow-cl03
DE609_01 172.20.105.104   00:02:C9:4E:DB:B2   glow-cl04
DE609_02 172.20.105.104   00:02:C9:4E:DB:B2   glow-cl04
DE609_03 172.20.105.103   00:02:C9:4E:DA:54   glow-cl03

FI609_00 10.211.9.42  00:1B:21:B5:31:24   eth3-PC0
FI609_01 10.212.9.42  00:1B:21:B5:31:25   eth1-PC1
FI609_02 10.213.9.42  00:1B:21:B5:31:26   eth5-PC2
FI609_03 10.214.9.42  00:1B:21:B5:31:27   eth4-PC3

PL610_00 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL610
PL610_01 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL610
PL610_02 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL610
PL610_03 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL610

PL611_00 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL611
PL611_01 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL611
PL611_02 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL611
PL611_03 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-PL611

PL612_00 10.170.0.30  90:1B:0E:60:33:F4   LOFARPL612_1
PL612_01 10.170.0.30  90:1B:0E:60:33:F4   LOFARPL612_1
PL612_02 10.170.0.30  90:1B:0E:60:33:F4   LOFARPL612_1
PL612_03 10.170.0.30  90:1B:0E:60:33:F4   LOFARPL612_1

IE613_00 10.170.0.30  90:1B:0E:60:33:F4   R00-BG1-IE613
IE613_00 10.170.0.30  90:1B:0E:60:33:F4   R00-BG1-IE613
IE613_00 10.170.0.30  90:1B:0E:60:33:F4   R00-BG1-IE613
IE613_00 10.170.0.30  90:1B:0E:60:33:F4   R00-BG1-IE613
