#
# StationAttenuation.dat
#
# $Id: $
#
# This file contains the attenuation stepsize for the used RCUs 
# and the fixed attenuation setting for each rcumode for each station
# This will be entered in the file RSPDriver.conf
# AttStepSize as ATT_STEP_SIZE
# ATT_x as FIXED_ATT_MODE_1 .. FIXED_ATT_MODE_7
#
# by running createFiles.
#
# Station     AttStepSize  ATT_1   ATT_2   ATT_3   ATT_4   ATT_5   ATT_6   ATT_7
CS001         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS002         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS003         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS004         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS005         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS006         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS007         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS011         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS013         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS017         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS021         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS024         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS026         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS028         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS030         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS031         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS032         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS101         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS103         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS201         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS301         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS302         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS401         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
CS501         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS106         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS205         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS208         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS210         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS305         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS306         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS307         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS310         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS404         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS406         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS407         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS409         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS410         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS503         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS508         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS509         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
DE601         1.00         0.0     0.0     0.0     0.0     0.0     0.0     0.0
DE602         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
DE603         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
DE604         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
DE605         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
FR606         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
SE607         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
UK608         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
DE609         0.25         0.0     0.0     0.0     0.0     4.0     4.0     4.0
PL610         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
PL611         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
PL612         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
IE613         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
FI609         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0
RS511         0.25         0.0     0.0     0.0     0.0     0.0     0.0     0.0


